ID,Label,MQ2_1,MQ4_1,MQ6_1,MQ9_1,MQ135_1,MQ136_1,MQ137_1,MQ138_1,MQ2_2,MQ4_2,MQ6_2,MQ9_2,MQ135_2,MQ136_2,MQ137_2,MQ138_2,MQ2_3,MQ4_3,MQ6_3,MQ9_3,MQ135_3,MQ136_3,MQ137_3,MQ138_3,Temperature,Humidity
S100-0,S100,0.957734453,0.656555738,0.175425093,0.227710907,0.600080052,0.746220661,0.711868901,0.055413432,0.821383908,1.443657792,0.246548928,4.665446903,1.584124202,2.37420695,0.553956729,1.176071311,0.243996477,0.36956777,0.304416987,0.110387107,0.233055816,0.350257598,0.219023243,0.061911346,24.2,52
S100-1,S100,0.957734453,0.656555738,0.175425093,0.228085685,0.600080052,0.746220661,0.711868901,0.055413432,0.825324329,1.443657792,0.246978864,4.665446903,1.598226381,2.405529443,0.553956729,1.183952417,0.243575533,0.370451045,0.304416987,0.110270772,0.22997553,0.350257598,0.219373866,0.061911346,24.2,52
S100-2,S100,0.957734453,0.656555738,0.175425093,0.228085685,0.600080052,0.746220661,0.711868901,0.055413432,0.817479343,1.455414003,0.246548928,4.786038471,1.570263122,2.37420695,0.555822946,1.176071311,0.243996477,0.370451045,0.303796219,0.110387107,0.22997553,0.350257598,0.219023243,0.06180611,24.7,59.7
S100-3,S100,0.957734453,0.654003588,0.175425093,0.227710907,0.600080052,0.746220661,0.711868901,0.055367454,0.821383908,1.443657792,0.247410079,4.550737861,1.598226381,2.343677431,0.552102252,1.176071311,0.243996477,0.36956777,0.303796219,0.110387107,0.230739007,0.350257598,0.218673597,0.061753586,24.7,59.7
S100-4,S100,0.957734453,0.654003588,0.175425093,0.227710907,0.600080052,0.742968205,0.708894716,0.055321515,0.821383908,1.432085264,0.246548928,4.665446903,1.598226381,2.343677431,0.552102252,1.183952417,0.243155831,0.36956777,0.303796219,0.110154588,0.228838402,0.349459506,0.218673597,0.061701137,24.7,59.7
S100-5,S100,0.963028945,0.654003588,0.175425093,0.227710907,0.600080052,0.742968205,0.708894716,0.055367454,0.817479343,1.443657792,0.246978864,4.665446903,1.598226381,2.313911165,0.553956729,1.191936614,0.243155831,0.370451045,0.303796219,0.110154588,0.227710907,0.349459506,0.218673597,0.061701137,24.7,59.7
S100-6,S100,0.957734453,0.654003588,0.175425093,0.227710907,0.597925632,0.742968205,0.708894716,0.055367454,0.821383908,1.432085264,0.246978864,4.665446903,1.598226381,2.37420695,0.553956729,1.183952417,0.243575533,0.370451045,0.302561418,0.110270772,0.228838402,0.349459506,0.217977129,0.061701137,24.8,59.7
S100-7,S100,0.957734453,0.654003588,0.175425093,0.227337219,0.597925632,0.742968205,0.708894716,0.055367454,0.825324329,1.443657792,0.246978864,4.665446903,1.598226381,2.405529443,0.552102252,1.176071311,0.243155831,0.36956777,0.303796219,0.109922783,0.228461517,0.348664649,0.218324893,0.061648689,24.8,59.7
S100-8,S100,0.957734453,0.654003588,0.175184107,0.227337219,0.597925632,0.742968205,0.708894716,0.055321515,0.821383908,1.443657792,0.246548928,4.665446903,1.570263122,2.37420695,0.552102252,1.160610208,0.242737371,0.368688296,0.303796219,0.109807125,0.226222366,0.349459506,0.218324893,0.061544055,24.8,59.7
S100-9,S100,0.957734453,0.654003588,0.175425093,0.227337219,0.597925632,0.742968205,0.708894716,0.055321515,0.817479343,1.432085264,0.246978864,4.665446903,1.598226381,2.37420695,0.553956729,1.183952417,0.243155831,0.36956777,0.303796219,0.109922783,0.225852817,0.349459506,0.217977129,0.061596353,24.8,59.7
S100-10,S100,0.957734453,0.654003588,0.175425093,0.227337219,0.597925632,0.742968205,0.708894716,0.055321515,0.821383908,1.443657792,0.246978864,4.786038471,1.584124202,2.37420695,0.552102252,1.191936614,0.242737371,0.36956777,0.303796219,0.109922783,0.225852817,0.350257598,0.218324893,0.061544055,24.8,59.7
S100-11,S100,0.957734453,0.654003588,0.175425093,0.227337219,0.597925632,0.742968205,0.708894716,0.055321515,0.817479343,1.432085264,0.246978864,4.665446903,1.584124202,2.37420695,0.552102252,1.183952417,0.242737371,0.368688296,0.303177708,0.109807125,0.226222366,0.349459506,0.218324893,0.061596353,24.8,59.7
S100-12,S100,0.957734453,0.654003588,0.175184107,0.226964548,0.597925632,0.739742613,0.705944046,0.055275613,0.817479343,1.432085264,0.246548928,4.665446903,1.598226381,2.37420695,0.552102252,1.183952417,0.242737371,0.367812622,0.302561418,0.109691692,0.225484322,0.348664649,0.217977129,0.061439609,24.8,59.7
S100-13,S100,0.957734453,0.654003588,0.175184107,0.226964548,0.597925632,0.742968205,0.705944046,0.055321515,0.821383908,1.443657792,0.246548928,4.665446903,1.584124202,2.37420695,0.552102252,1.183952417,0.243155831,0.368688296,0.303177708,0.109691692,0.225116843,0.349459506,0.217977129,0.061439609,24.8,59.7
S100-14,S100,0.957734453,0.654003588,0.175184107,0.227337219,0.597925632,0.742968205,0.705944046,0.055321515,0.821383908,1.443657792,0.246548928,4.786038471,1.584124202,2.37420695,0.550259362,1.183952417,0.243155831,0.36956777,0.302561418,0.109576411,0.226222366,0.348664649,0.217977129,0.061387461,24.8,59.6
S100-15,S100,0.957734453,0.654003588,0.175184107,0.226964548,0.597925632,0.742968205,0.705944046,0.055321515,0.821383908,1.432085264,0.246120309,4.550737861,1.598226381,2.437676216,0.550259362,1.183952417,0.242320152,0.370451045,0.302561418,0.109691692,0.224750417,0.348664649,0.217630343,0.061335389,24.8,59.6
S100-16,S100,0.957734453,0.651470138,0.175184107,0.226964548,0.597925632,0.739742613,0.705944046,0.055229749,0.817479343,1.443657792,0.246978864,4.665446903,1.598226381,2.37420695,0.552102252,1.176071311,0.242320152,0.368688296,0.301947385,0.109576411,0.224020576,0.347873104,0.217284461,0.061231357,24.8,59.6
