Time,Label,MQ2_1,MQ4_1,MQ6_1,MQ9_1,MQ135_1,MQ136_1,MQ137_1,MQ138_1
1,1,0.757971503,0.772103803,0.803367287,0.795624649,0.746339099,0.705284754,0.739749037,0.775354393
2,1,0.757971503,0.772103803,0.803367287,0.794456427,0.746339099,0.705284754,0.737329045,0.77473502
3,1,0.750927275,0.772103803,0.803367287,0.794456427,0.746339099,0.702728312,0.734923758,0.774114868
4,1,0.757971503,0.772103803,0.803367287,0.794456427,0.746339099,0.702728312,0.732533124,0.774114868
5,1,0.750927275,0.769599311,0.802394396,0.793290827,0.744583417,0.700189323,0.732533124,0.77287768
6,1,0.750927275,0.769599311,0.801423198,0.793290827,0.742835211,0.697667526,0.730156988,0.772259866
7,1,0.750927275,0.769599311,0.801423198,0.793290827,0.742835211,0.697667526,0.727795196,0.771642051
8,1,0.750927275,0.769599311,0.801423198,0.793290827,0.742835211,0.695162744,0.725447645,0.771025015
9,1,0.750927275,0.769599311,0.800453903,0.792128158,0.742835211,0.695162744,0.725447645,0.77040798
10,1,0.750927275,0.769599311,0.800453903,0.792128158,0.742835211,0.695162744,0.723114179,0.769792502
11,1,0.750927275,0.767109937,0.799486511,0.792128158,0.741094404,0.695162744,0.723114179,0.769176246
12,1,0.750927275,0.767109937,0.799486511,0.790968419,0.741094404,0.692674848,0.720794695,0.768561547
13,1,0.750927275,0.767109937,0.799486511,0.792128158,0.741094404,0.692674848,0.720794695,0.768561547
14,1,0.750927275,0.767109937,0.799486511,0.790968419,0.741094404,0.692674848,0.718489039,0.767332929
15,1,0.750927275,0.767109937,0.799486511,0.790968419,0.741094404,0.692674848,0.718489039,0.76671901
16,1,0.750927275,0.764635573,0.798520812,0.789811458,0.741094404,0.692674848,0.716197107,0.765493509
17,1,0.750927275,0.764635573,0.798520812,0.789811458,0.739360995,0.692674848,0.716197107,0.764881148
18,1,0.750927275,0.764635573,0.797557016,0.788657273,0.739360995,0.690203618,0.713918797,0.763657983
19,1,0.744009991,0.764635573,0.797557016,0.788657273,0.739360995,0.690203618,0.713918797,0.764269566
20,1,0.744009991,0.764635573,0.796595123,0.788657273,0.739360995,0.690203618,0.711653953,0.76304718
21,1,0.744009991,0.764635573,0.796595123,0.788657273,0.737634986,0.690203618,0.711653953,0.762437157
22,1,0.744009991,0.762176056,0.796595123,0.787506019,0.737634986,0.690203618,0.711653953,0.761827133
23,1,0.744009991,0.762176056,0.796595123,0.787506019,0.737634986,0.690203618,0.709402524,0.761217888
24,1,0.744009991,0.762176056,0.796595123,0.787506019,0.737634986,0.690203618,0.709402524,0.760609422
25,1,0.744009991,0.762176056,0.795635134,0.786357542,0.735916144,0.690203618,0.709402524,0.760000956
26,1,0.744009991,0.762176056,0.794676837,0.786357542,0.735916144,0.690203618,0.707164252,0.75939327
27,1,0.744009991,0.759731276,0.794676837,0.785211842,0.735916144,0.690203618,0.707164252,0.75939327
28,1,0.737216221,0.759731276,0.794676837,0.785211842,0.735916144,0.690203618,0.707164252,0.758785583
29,1,0.744009991,0.759731276,0.794676837,0.785211842,0.735916144,0.690203618,0.707164252,0.758178676
30,1,0.737216221,0.759731276,0.794676837,0.785211842,0.735916144,0.690203618,0.707164252,0.758178676
31,1,0.737216221,0.757301071,0.793720443,0.784068918,0.734204623,0.690203618,0.704939189,0.756966419
32,1,0.737216221,0.757301071,0.792765741,0.782928771,0.734204623,0.690203618,0.704939189,0.75575572
33,1,0.737216221,0.757301071,0.792765741,0.782928771,0.734204623,0.690203618,0.704939189,0.75575572
34,1,0.737216221,0.754885331,0.792765741,0.782928771,0.732500271,0.690203618,0.704939189,0.75515115
35,1,0.737216221,0.757301071,0.792765741,0.782928771,0.732500271,0.690203618,0.704939189,0.75575572
36,1,0.737216221,0.754885331,0.791812943,0.781791401,0.732500271,0.690203618,0.704939189,0.754547358
37,1,0.737216221,0.754885331,0.790861837,0.781791401,0.732500271,0.690203618,0.702727076,0.754547358
38,1,0.737216221,0.754885331,0.790861837,0.781791401,0.732500271,0.690203618,0.702727076,0.754547358
39,1,0.737216221,0.754885331,0.791812943,0.781791401,0.732500271,0.690203618,0.704939189,0.75515115
40,1,0.737216221,0.754885331,0.791812943,0.781791401,0.732500271,0.690203618,0.702727076,0.754547358
41,1,0.737216221,0.752483949,0.790861837,0.780656808,0.730803009,0.690203618,0.702727076,0.753340555
42,1,0.730542706,0.752483949,0.789912634,0.779524991,0.729112915,0.687748966,0.702727076,0.752738322
43,1,0.730542706,0.752483949,0.790861837,0.780656808,0.730803009,0.690203618,0.702727076,0.753340555
44,1,0.737216221,0.752483949,0.790861837,0.780656808,0.730803009,0.690203618,0.702727076,0.754547358
45,1,0.737216221,0.752483949,0.790861837,0.780656808,0.730803009,0.690203618,0.702727076,0.753943567
46,1,0.730542706,0.750096761,0.788965335,0.778395796,0.729112915,0.687748966,0.700527862,0.752136089
47,1,0.730542706,0.747723712,0.788019728,0.778395796,0.727429834,0.687748966,0.700527862,0.751534635
48,1,0.730542706,0.747723712,0.788019728,0.777269379,0.727429834,0.687748966,0.700527862,0.750933181
49,1,0.730542706,0.747723712,0.788019728,0.777269379,0.727429834,0.687748966,0.700527862,0.751534635
50,1,0.730542706,0.747723712,0.788965335,0.778395796,0.727429834,0.687748966,0.700527862,0.753340555
51,1,0.730542706,0.747723712,0.788019728,0.777269379,0.727429834,0.687748966,0.700527862,0.751534635
52,1,0.730542706,0.747723712,0.788019728,0.777269379,0.725753843,0.687748966,0.700527862,0.751534635
53,1,0.730542706,0.745364531,0.787075812,0.777269379,0.725753843,0.687748966,0.700527862,0.750933181
54,1,0.730542706,0.745364531,0.787075812,0.777269379,0.725753843,0.687748966,0.700527862,0.751534635
55,1,0.730542706,0.747723712,0.787075812,0.776145738,0.725753843,0.687748966,0.700527862,0.751534635
56,1,0.730542706,0.745364531,0.787075812,0.776145738,0.725753843,0.687748966,0.700527862,0.751534635
57,1,0.730542706,0.745364531,0.786133801,0.775024719,0.724084712,0.687748966,0.698341495,0.750332506
58,1,0.730542706,0.745364531,0.786133801,0.776145738,0.724084712,0.687748966,0.698341495,0.750332506
59,1,0.730542706,0.743019272,0.786133801,0.775024719,0.724084712,0.687748966,0.698341495,0.750332506
60,1,0.730542706,0.743019272,0.785193481,0.775024719,0.724084712,0.685310675,0.698341495,0.750332506
61,1,0.723986252,0.743019272,0.786133801,0.775024719,0.724084712,0.685310675,0.698341495,0.750332506
62,1,0.723986252,0.743019272,0.785193481,0.775024719,0.724084712,0.685310675,0.698341495,0.750332506
63,1,0.723986252,0.743019272,0.785193481,0.773906478,0.722422595,0.685310675,0.698341495,0.750332506
64,1,0.723986252,0.743019272,0.785193481,0.773906478,0.722422595,0.685310675,0.698341495,0.750332506
65,1,0.723986252,0.743019272,0.785193481,0.773906478,0.722422595,0.685310675,0.698341495,0.749731831
66,1,0.723986252,0.743019272,0.785193481,0.773906478,0.722422595,0.685310675,0.698341495,0.749731831
