No,HN1,HN2,L1,L2,L3,AVG
1,16,16,0.824362606,0.932011331,0.906515581,0.887629839
2,16,32,0.844192635,0.934844193,0.866855524,0.881964117
3,16,48,0.855524079,0.957507082,0.926345609,0.91312559
4,16,64,0.841359773,0.940509915,0.937677054,0.906515581
5,16,80,0.844192635,0.954674221,0.926345609,0.908404155
6,16,96,0.886685552,0.957507082,0.923512748,0.922568461
7,16,112,0.844192635,0.943342776,0.95184136,0.91312559
8,16,128,0.864022663,0.963172805,0.934844193,0.920679887
9,16,144,0.889518414,0.954674221,0.934844193,0.926345609
10,16,160,0.878186969,0.949008499,0.943342776,0.923512748
11,16,176,0.906515581,0.949008499,0.932011331,0.92917847
12,16,192,0.866855524,0.95184136,0.954674221,0.924457035
13,16,208,0.864022663,0.95184136,0.923512748,0.91312559
14,16,224,0.866855524,0.934844193,0.934844193,0.912181303
15,16,240,0.898016997,0.946175637,0.960339943,0.934844193
16,16,256,0.892351275,0.949008499,0.957507082,0.932955619
17,16,272,0.889518414,0.954674221,0.934844193,0.926345609
18,16,288,0.90368272,0.946175637,0.940509915,0.930122757
19,32,16,0.847025496,0.861189802,0.923512748,0.877242682
20,32,32,0.849858357,0.932011331,0.957507082,0.91312559
21,32,48,0.875354108,0.954674221,0.963172805,0.931067044
22,32,64,0.864022663,0.957507082,0.940509915,0.920679887
23,32,80,0.875354108,0.954674221,0.940509915,0.923512748
24,32,96,0.864022663,0.960339943,0.946175637,0.923512748
25,32,112,0.912181303,0.949008499,0.949008499,0.936732767
26,32,128,0.883852691,0.954674221,0.949008499,0.92917847
27,32,144,0.892351275,0.95184136,0.934844193,0.926345609
28,32,160,0.892351275,0.954674221,0.946175637,0.931067044
29,32,176,0.920679887,0.957507082,0.946175637,0.941454202
30,32,192,0.909348442,0.954674221,0.957507082,0.940509915
31,32,208,0.906515581,0.957507082,0.95184136,0.938621341
32,32,224,0.898016997,0.963172805,0.957507082,0.939565628
33,32,240,0.906515581,0.954674221,0.966005666,0.942398489
34,32,256,0.909348442,0.957507082,0.943342776,0.936732767
35,32,272,0.900849858,0.943342776,0.940509915,0.928234183
36,32,288,0.906515581,0.957507082,0.943342776,0.93578848
37,48,16,0.872521246,0.95184136,0.934844193,0.9197356
38,48,32,0.889518414,0.949008499,0.937677054,0.925401322
39,48,48,0.866855524,0.957507082,0.946175637,0.923512748
40,48,64,0.898016997,0.949008499,0.932011331,0.926345609
41,48,80,0.906515581,0.949008499,0.937677054,0.931067044
42,48,96,0.892351275,0.954674221,0.940509915,0.92917847
43,48,112,0.906515581,0.95184136,0.949008499,0.93578848
44,48,128,0.909348442,0.95184136,0.946175637,0.93578848
45,48,144,0.906515581,0.960339943,0.95184136,0.939565628
46,48,160,0.912181303,0.954674221,0.95184136,0.939565628
47,48,176,0.90368272,0.954674221,0.954674221,0.937677054
48,48,192,0.912181303,0.949008499,0.943342776,0.934844193
49,48,208,0.909348442,0.954674221,0.943342776,0.93578848
50,48,224,0.900849858,0.957507082,0.949008499,0.93578848
51,48,240,0.906515581,0.95184136,0.946175637,0.934844193
52,48,256,0.920679887,0.95184136,0.946175637,0.939565628
53,48,272,0.90368272,0.949008499,0.949008499,0.933899906
54,48,288,0.906515581,0.954674221,0.949008499,0.936732767
55,64,16,0.866855524,0.943342776,0.946175637,0.918791313
56,64,32,0.864022663,0.949008499,0.937677054,0.916902738
57,64,48,0.892351275,0.946175637,0.946175637,0.928234183
58,64,64,0.892351275,0.954674221,0.963172805,0.936732767
59,64,80,0.900849858,0.957507082,0.943342776,0.933899906
60,64,96,0.895184136,0.960339943,0.95184136,0.93578848
61,64,112,0.895184136,0.954674221,0.95184136,0.933899906
62,64,128,0.90368272,0.957507082,0.943342776,0.934844193
63,64,144,0.906515581,0.95184136,0.943342776,0.933899906
64,64,160,0.90368272,0.957507082,0.95184136,0.937677054
65,64,176,0.912181303,0.957507082,0.949008499,0.939565628
66,64,192,0.90368272,0.957507082,0.946175637,0.93578848
67,64,208,0.912181303,0.957507082,0.954674221,0.941454202
68,64,224,0.909348442,0.954674221,0.95184136,0.938621341
69,64,240,0.915014164,0.957507082,0.946175637,0.939565628
70,64,256,0.90368272,0.957507082,0.946175637,0.93578848
71,64,272,0.915014164,0.957507082,0.95184136,0.941454202
72,64,288,0.912181303,0.95184136,0.95184136,0.938621341
73,80,16,0.864022663,0.949008499,0.943342776,0.918791313
74,80,32,0.892351275,0.95184136,0.937677054,0.927289896
75,80,48,0.892351275,0.954674221,0.940509915,0.92917847
76,80,64,0.878186969,0.95184136,0.937677054,0.922568461
