No,HN1,HN2,L1,L2,L3,AVG
1,16,16,0.824362606,0.932011331,0.906515581,0.887629839
2,16,32,0.844192635,0.934844193,0.866855524,0.881964117
3,16,48,0.855524079,0.957507082,0.926345609,0.91312559
4,16,64,0.841359773,0.940509915,0.937677054,0.906515581
5,16,80,0.844192635,0.954674221,0.926345609,0.908404155
6,16,96,0.886685552,0.957507082,0.923512748,0.922568461
7,16,112,0.844192635,0.943342776,0.95184136,0.91312559
8,16,128,0.864022663,0.963172805,0.934844193,0.920679887
9,16,144,0.889518414,0.954674221,0.934844193,0.926345609
10,16,160,0.878186969,0.949008499,0.943342776,0.923512748
11,16,176,0.906515581,0.949008499,0.932011331,0.92917847
12,16,192,0.866855524,0.95184136,0.954674221,0.924457035
13,16,208,0.864022663,0.95184136,0.923512748,0.91312559
14,16,224,0.866855524,0.934844193,0.934844193,0.912181303
15,16,240,0.898016997,0.946175637,0.960339943,0.934844193
16,16,256,0.892351275,0.949008499,0.957507082,0.932955619
17,32,16,0.847025496,0.861189802,0.923512748,0.877242682
18,32,32,0.849858357,0.932011331,0.957507082,0.91312559
19,32,48,0.875354108,0.954674221,0.963172805,0.931067044
20,32,64,0.864022663,0.957507082,0.940509915,0.920679887
21,32,80,0.875354108,0.954674221,0.940509915,0.923512748
22,32,96,0.864022663,0.960339943,0.946175637,0.923512748
23,32,112,0.912181303,0.949008499,0.949008499,0.936732767
24,32,128,0.883852691,0.954674221,0.949008499,0.92917847
25,32,144,0.892351275,0.95184136,0.934844193,0.926345609
26,32,160,0.892351275,0.954674221,0.946175637,0.931067044
27,32,176,0.920679887,0.957507082,0.946175637,0.941454202
28,32,192,0.909348442,0.954674221,0.957507082,0.940509915
29,32,208,0.906515581,0.957507082,0.95184136,0.938621341
30,32,224,0.898016997,0.963172805,0.957507082,0.939565628
31,32,240,0.906515581,0.954674221,0.966005666,0.942398489
32,32,256,0.909348442,0.957507082,0.943342776,0.936732767
33,48,16,0.872521246,0.95184136,0.934844193,0.9197356
34,48,32,0.889518414,0.949008499,0.937677054,0.925401322
35,48,48,0.866855524,0.957507082,0.946175637,0.923512748
36,48,64,0.898016997,0.949008499,0.932011331,0.926345609
37,48,80,0.906515581,0.949008499,0.937677054,0.931067044
38,48,96,0.892351275,0.954674221,0.940509915,0.92917847
39,48,112,0.906515581,0.95184136,0.949008499,0.93578848
40,48,128,0.909348442,0.95184136,0.946175637,0.93578848
41,48,144,0.906515581,0.960339943,0.95184136,0.939565628
42,48,160,0.912181303,0.954674221,0.95184136,0.939565628
43,48,176,0.90368272,0.954674221,0.954674221,0.937677054
44,48,192,0.912181303,0.949008499,0.943342776,0.934844193
45,48,208,0.909348442,0.954674221,0.943342776,0.93578848
46,48,224,0.900849858,0.957507082,0.949008499,0.93578848
47,48,240,0.906515581,0.95184136,0.946175637,0.934844193
48,48,256,0.920679887,0.95184136,0.946175637,0.939565628
49,64,16,0.866855524,0.943342776,0.946175637,0.918791313
50,64,32,0.864022663,0.949008499,0.937677054,0.916902738
51,64,48,0.892351275,0.946175637,0.946175637,0.928234183
52,64,64,0.892351275,0.954674221,0.963172805,0.936732767
53,64,80,0.900849858,0.957507082,0.943342776,0.933899906
54,64,96,0.895184136,0.960339943,0.95184136,0.93578848
55,64,112,0.895184136,0.954674221,0.95184136,0.933899906
56,64,128,0.90368272,0.957507082,0.943342776,0.934844193
57,64,144,0.906515581,0.95184136,0.943342776,0.933899906
58,64,160,0.90368272,0.957507082,0.95184136,0.937677054
59,64,176,0.912181303,0.957507082,0.949008499,0.939565628
60,64,192,0.90368272,0.957507082,0.946175637,0.93578848
61,64,208,0.912181303,0.957507082,0.954674221,0.941454202
62,64,224,0.909348442,0.954674221,0.95184136,0.938621341
63,64,240,0.915014164,0.957507082,0.946175637,0.939565628
64,64,256,0.90368272,0.957507082,0.946175637,0.93578848
65,80,16,0.864022663,0.949008499,0.943342776,0.918791313
66,80,32,0.892351275,0.95184136,0.937677054,0.927289896
67,80,48,0.892351275,0.954674221,0.940509915,0.92917847
68,80,64,0.878186969,0.95184136,0.937677054,0.922568461
69,80,80,0.898016997,0.949008499,0.940509915,0.92917847
70,80,96,0.90368272,0.95184136,0.949008499,0.934844193
71,80,112,0.912181303,0.949008499,0.946175637,0.93578848
72,80,128,0.90368272,0.957507082,0.946175637,0.93578848
73,80,144,0.912181303,0.957507082,0.949008499,0.939565628
74,80,160,0.90368272,0.95184136,0.957507082,0.937677054
75,80,176,0.900849858,0.954674221,0.95184136,0.93578848
76,80,192,0.912181303,0.960339943,0.946175637,0.939565628
