No,HN1,HN2,L1,L2,L3,AVG
24,32,128,0.979351032,0.985250737,0.967551622,0.977384464
66,80,32,0.982300885,1,0.926253687,0.969518191
82,96,32,0.979351032,0.946902655,0.979351032,0.968534907
35,48,48,0.97640118,0.96460177,0.961651917,0.967551622
244,256,64,0.982300885,0.958702065,0.961651917,0.967551622
68,80,64,0.973451327,0.95280236,0.970501475,0.965585054
52,64,64,0.96460177,0.967551622,0.961651917,0.96460177
131,144,48,0.985250737,0.96460177,0.94100295,0.963618486
192,192,256,0.97640118,0.985250737,0.92920354,0.963618486
129,144,16,0.96460177,0.946902655,0.973451327,0.961651917
227,240,48,0.979351032,0.943952802,0.961651917,0.961651917
54,64,96,0.961651917,0.985250737,0.938053097,0.961651917
36,48,64,0.973451327,0.970501475,0.938053097,0.960668633
130,144,32,0.985250737,0.982300885,0.914454277,0.960668633
6,16,96,0.982300885,0.967551622,0.92920354,0.959685349
180,192,64,0.985250737,0.958702065,0.932153392,0.958702065
81,96,16,0.985250737,0.943952802,0.94100295,0.956735497
19,32,48,0.943952802,0.973451327,0.949852507,0.955752212
98,112,32,0.967551622,0.943952802,0.955752212,0.955752212
84,96,64,0.979351032,0.973451327,0.914454277,0.955752212
74,80,160,0.97640118,0.970501475,0.91740413,0.954768928
118,128,96,0.97640118,0.979351032,0.908554572,0.954768928
115,128,48,0.946902655,0.96460177,0.95280236,0.954768928
161,176,16,0.914454277,0.949852507,0.997050147,0.953785644
210,224,32,0.994100295,1,0.867256637,0.953785644
209,224,16,0.973451327,0.961651917,0.926253687,0.953785644
146,160,32,0.949852507,0.967551622,0.94100295,0.95280236
162,176,32,0.949852507,0.958702065,0.949852507,0.95280236
167,176,112,0.979351032,0.938053097,0.94100295,0.95280236
182,192,96,0.985250737,0.943952802,0.92920354,0.95280236
67,80,48,0.92920354,0.97640118,0.949852507,0.951819076
83,96,48,0.908554572,0.967551622,0.979351032,0.951819076
128,128,256,0.970501475,0.955752212,0.926253687,0.950835792
37,48,80,0.970501475,0.970501475,0.908554572,0.949852507
120,128,128,0.973451327,0.94100295,0.932153392,0.948869223
252,256,192,0.97640118,0.946902655,0.923303835,0.948869223
113,128,16,0.985250737,0.92920354,0.932153392,0.948869223
123,128,176,0.985250737,0.96460177,0.896755162,0.948869223
33,48,16,0.967551622,0.95280236,0.923303835,0.947885939
242,256,32,0.96460177,0.923303835,0.955752212,0.947885939
5,16,80,0.961651917,0.970501475,0.911504425,0.947885939
205,208,208,0.911504425,0.997050147,0.932153392,0.946902655
165,176,80,0.967551622,0.920353982,0.946902655,0.944936087
175,176,240,0.97640118,0.949852507,0.902654867,0.942969518
57,64,144,0.979351032,0.967551622,0.8820059,0.942969518
64,64,256,0.98820059,0.926253687,0.914454277,0.942969518
172,176,192,0.96460177,0.92920354,0.935103245,0.942969518
69,80,80,0.97640118,0.890855457,0.958702065,0.941986234
87,96,112,0.935103245,0.982300885,0.908554572,0.941986234
97,112,16,0.949852507,0.967551622,0.908554572,0.941986234
65,80,16,0.923303835,0.955752212,0.943952802,0.94100295
232,240,128,0.935103245,0.938053097,0.949852507,0.94100295
231,240,112,0.949852507,0.920353982,0.95280236,0.94100295
202,208,160,0.979351032,0.94100295,0.899705015,0.940019666
26,32,160,0.979351032,0.97640118,0.861356932,0.939036382
93,96,208,0.926253687,0.970501475,0.920353982,0.939036382
226,240,32,0.873156342,0.985250737,0.958702065,0.939036382
194,208,32,0.887905605,0.967551622,0.958702065,0.938053097
221,224,208,0.911504425,0.96460177,0.938053097,0.938053097
155,160,176,0.914454277,0.985250737,0.914454277,0.938053097
60,64,192,0.926253687,0.932153392,0.95280236,0.937069813
94,96,224,0.890855457,0.96460177,0.955752212,0.937069813
135,144,112,0.8820059,0.967551622,0.961651917,0.937069813
225,240,16,0.970501475,0.923303835,0.914454277,0.936086529
152,160,128,0.967551622,0.873156342,0.96460177,0.935103245
85,96,80,0.914454277,0.946902655,0.94100295,0.934119961
34,48,32,0.926253687,0.970501475,0.902654867,0.933136676
224,224,256,0.926253687,0.914454277,0.958702065,0.933136676
20,32,64,0.932153392,0.896755162,0.967551622,0.932153392
78,80,224,0.958702065,0.932153392,0.90560472,0.932153392
122,128,160,0.884955752,0.946902655,0.96460177,0.932153392
137,144,144,0.932153392,0.967551622,0.896755162,0.932153392
150,160,96,0.932153392,0.914454277,0.946902655,0.931170108
158,160,224,0.896755162,0.955752212,0.94100295,0.931170108
47,48,240,0.973451327,0.914454277,0.902654867,0.930186824
179,192,48,0.970501475,0.926253687,0.89380531,0.930186824
55,64,112,0.923303835,0.946902655,0.920353982,0.930186824
88,96,128,0.935103245,0.926253687,0.926253687,0.92920354
109,112,208,0.855457227,0.970501475,0.958702065,0.928220256
